tanggal,reg,nearend,farend,speed,utz(%),tahun,tren,port_use,port_abandoned,speed list
2024-11-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.001141656,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2024-12-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,-0.001737069,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-01-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.000660282,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-02-28 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,4.464452267,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-03-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,19.05139351,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-04-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,18.96838379,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-05-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,18.99075127,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-06-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,18.98522186,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-07-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,18.99474907,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2025-08-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,18.96871376,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
